@RELATION histogram
@ATTRIBUTE o1	REAL
@ATTRIBUTE o2	REAL
@ATTRIBUTE o 	{1,2,3,4,5,6}
@DATA
212,21,2
208,20.444444,2
205,19.777778,2
203,19.777778,2
199,19.666667,2
196,19.555556,2
192,19,2
185,18,2
180,17.888889,2
174,17.222222,2
170,16.222222,2
167,16.777778,2
196,20.111111,6
194,19.333333,6
188,18.777778,6
183,18,2
184,18,2
185,18.111111,2
188,18.444444,2
188,18.555556,2
189,18.777778,2
190,18.888889,2
190,18.666667,2
188,18.444444,2
187,18.444444,2
186,18.333333,2
185,18.444444,2
184,18.222222,2
184,18.222222,2
184,18.333333,2
183,18.333333,2
183,18.111111,2
182,18,2
182,18,2
181,17.777778,2
182,18.111111,2
182,18,2
183,18.222222,2
183,18.333333,2
184,18,2
187,18.111111,2
190,18.666667,2
192,18.777778,2
196,19.444444,2
197,19.333333,2
201,19.777778,2
204,20,2
207,20.111111,2
209,20.555556,2
211,20.666667,2
213,20.777778,2
215,21.111111,2
215,21.222222,2
216,21,2
214,20.888889,2
213,20.888889,2
212,21,2
213,21.111111,2
214,21.333333,2
215,21.666667,2
217,21.666667,2
220,21.333333,2
224,22,2
228,22.666667,2
232,23.222222,2
233,23.111111,2
234,22.888889,2
233,23,2
232,22.777778,2
231,22.444444,2
229,22.555556,2
226,22.222222,2
224,22.111111,2
222,21.888889,2
220,21.777778,2
220,21.666667,2
218,21.333333,2
215,21,2
212,21.111111,2
208,20.444444,2
207,20.444444,2
204,20.222222,2
201,19.888889,2
198,19.555556,2
191,18.777778,2
185,18.222222,2
180,17.666667,2
175,17,2
171,16.888889,2
197,19.333333,6
197,20.222222,6
193,19.333333,6
186,18.666667,6
180,18,6
175,17.444444,6
183,17.666667,2
184,17.777778,2
186,18.111111,2
188,18.444444,2
188,18.444444,2
189,18.777778,2
191,19,2
191,18.777778,2
189,18.666667,2
188,18.666667,2
187,18.444444,2
185,18.222222,2
184,18.222222,2
184,18.111111,2
183,18,2
182,18,2
181,17.444444,2
181,17.666667,2
181,17.777778,2
181,17.888889,2
182,18,2
183,18,2
184,18.111111,2
184,18.111111,2
186,18.333333,2
189,18.666667,2
192,18.888889,2
194,19.222222,2
198,19.444444,2
200,19.555556,2
204,19.888889,2
206,20,2
210,20.333333,2
212,20.888889,2
214,21,2
217,21.333333,2
219,21.555556,2
219,21.555556,2
220,21.111111,2
218,21.111111,2
217,21.333333,2
217,21.555556,2
218,21.777778,2
219,22,2
220,22,2
221,22,2
224,22,2
228,22.333333,2
232,22.333333,2
236,23.333333,2
238,23.555556,2
238,23.444444,2
237,23.444444,2
236,23.222222,2
235,23.555556,2
234,23.333333,2
231,22.888889,2
228,22.555556,2
226,22.222222,2
224,22,2
224,21.888889,2
223,21.777778,2
220,21.555556,2
218,21.555556,2
213,20.888889,2
212,21,2
209,20.444444,2
207,20.111111,2
205,20.111111,2
199,19.333333,2
193,18.777778,2
187,18.222222,2
181,17.555556,2
177,17.222222,2
199,20.333333,6
198,20.111111,6
191,19.111111,6
185,18.555556,6
180,17.777778,6
178,17.777778,6
180,18,6
185,18.222222,2
185,18,2
187,18.222222,2
189,18.555556,2
189,18.666667,2
190,18.777778,2
192,19,2
192,19.222222,2
189,18.777778,2
188,18.555556,2
186,18.111111,2
184,17.888889,2
184,18.222222,2
183,17.888889,2
182,17.555556,2
181,17.666667,2
180,17.444444,2
180,17.444444,2
181,17.555556,2
181,17.666667,2
183,17.888889,2
185,18.444444,2
186,18,2
187,18.222222,2
189,18.777778,2
191,19,2
195,19.333333,2
197,19.555556,2
202,20.333333,2
204,20,2
207,20.444444,2
210,21,2
213,21.111111,2
216,21.555556,2
218,21.555556,2
221,22.111111,2
222,22,2
222,22,2
223,21.888889,2
221,21.777778,2
220,21.777778,2
220,22,2
221,22.111111,2
222,22.222222,2
224,22.444444,2
225,22.444444,2
228,22.666667,2
231,22.666667,2
235,23,2
239,23.666667,2
241,23.888889,2
241,23.888889,2
240,23.777778,2
239,23.444444,2
239,23.777778,2
237,23.555556,2
235,23.333333,2
233,22.888889,2
230,22.444444,2
229,22.444444,2
228,22.555556,2
228,22.333333,2
225,22,2
223,21.777778,2
219,21.222222,2
218,21.333333,2
216,21.222222,2
213,21,2
211,21,2
206,20.222222,2
200,19.444444,2
195,18.888889,2
189,18.222222,2
184,17.888889,2
202,20.666667,6
199,19.888889,6
192,19.333333,6
186,18.666667,6
182,18.111111,6
183,18.222222,6
186,18.222222,6
187,18.333333,6
187,18.222222,6
186,18.888889,2
187,18.777778,2
188,18.666667,2
189,18.666667,2
189,18.666667,2
191,18.777778,2
191,18.777778,2
191,19,2
189,18.666667,2
188,18.444444,2
186,18.222222,2
